goos: darwin
goarch: arm64
pkg: github.com/lazygophers/utils/validator
BenchmarkRange_Original_Float64-8             	 8526600	       140.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkRange_Original_Float64-8             	 8584458	       139.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkRange_Original_Float64-8             	 8610140	       139.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkRange_CacheKind_Float64-8            	 8516992	       140.1 ns/op	       0 B/op	       0 allocs/op
BenchmarkRange_CacheKind_Float64-8            	 8564810	       140.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkRange_CacheKind_Float64-8            	 8619195	       140.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkRange_FastFail_Float64-8             	 8586252	       140.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkRange_FastFail_Float64-8             	 8510006	       140.2 ns/op	       0 B/op	       0 allocs/op
BenchmarkRange_FastFail_Float64-8             	 8521544	       139.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkRange_PrecomputeBounds_Float64-8     	 8605080	       139.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkRange_PrecomputeBounds_Float64-8     	 8590718	       139.9 ns/op	       0 B/op	       0 allocs/op
BenchmarkRange_PrecomputeBounds_Float64-8     	 8624726	       140.5 ns/op	       0 B/op	       0 allocs/op
BenchmarkRange_InterfaceAssertion_Float64-8   	 1215902	       993.4 ns/op	     800 B/op	     100 allocs/op
BenchmarkRange_InterfaceAssertion_Float64-8   	 1204264	       989.4 ns/op	     800 B/op	     100 allocs/op
BenchmarkRange_InterfaceAssertion_Float64-8   	 1000000	      1000 ns/op	     800 B/op	     100 allocs/op
BenchmarkRange_IntegerOptimized_Float64-8     	 8587432	       139.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkRange_IntegerOptimized_Float64-8     	 8251348	       139.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkRange_IntegerOptimized_Float64-8     	 8506263	       140.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkRange_BranchPrediction_Float64-8     	17025271	        70.21 ns/op	       0 B/op	       0 allocs/op
BenchmarkRange_BranchPrediction_Float64-8     	17138530	        70.86 ns/op	       0 B/op	       0 allocs/op
BenchmarkRange_BranchPrediction_Float64-8     	17085345	        70.16 ns/op	       0 B/op	       0 allocs/op
BenchmarkRange_NoSwitch_Float64-8             	 7509098	       159.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkRange_NoSwitch_Float64-8             	 7546178	       161.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkRange_NoSwitch_Float64-8             	 7560547	       160.6 ns/op	       0 B/op	       0 allocs/op
BenchmarkRange_DirectMethod_Float64-8         	 8596614	       139.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkRange_DirectMethod_Float64-8         	 8598777	       139.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkRange_DirectMethod_Float64-8         	 8623468	       139.8 ns/op	       0 B/op	       0 allocs/op
BenchmarkRange_CombineCompare_Float64-8       	 8286567	       139.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkRange_CombineCompare_Float64-8       	 8633737	       139.2 ns/op	       0 B/op	       0 allocs/op
