goos: darwin
goarch: arm64
pkg: github.com/lazygophers/utils/validator
cpu: Apple M3
BenchmarkAlphaRegex-8                                  	  790513	       153.7 ns/op	       0 B/op	       0 allocs/op
BenchmarkAlphaManualRange-8                            	19484210	         7.073 ns/op	       0 B/op	       0 allocs/op
BenchmarkAlphaSinglePass-8                             	20391553	         5.682 ns/op	       0 B/op	       0 allocs/op
BenchmarkAlphaBitOps-8                                 	192479272	         0.5663 ns/op	       0 B/op	       0 allocs/op
BenchmarkAlphanumRegex-8                               	  830282	       186.4 ns/op	       0 B/op	       0 allocs/op
BenchmarkAlphanumManualRange-8                         	13379913	         8.077 ns/op	       0 B/op	       0 allocs/op
BenchmarkAlphanumSinglePass-8                          	16622800	         7.274 ns/op	       0 B/op	       0 allocs/op
BenchmarkAlphanumBitOps-8                              	141831747	         0.8142 ns/op	       0 B/op	       0 allocs/op
BenchmarkDemo-8                                        	214917513	         0.5426 ns/op	       0 B/op	       0 allocs/op
BenchmarkEmail_OriginalRegex-8                         	   38514	      3081 ns/op	       0 B/op	       0 allocs/op
BenchmarkEmail_Optimized-8                             	   36950	      3499 ns/op	     208 B/op	      13 allocs/op
BenchmarkEmail_InlineOptimized-8                       	 2122920	        57.43 ns/op	       0 B/op	       0 allocs/op
BenchmarkIn_Original_3Int-8                            	27293923	         4.301 ns/op	       0 B/op	       0 allocs/op
BenchmarkIn_V1_3Int-8                                  	13563152	        11.55 ns/op	       0 B/op	       0 allocs/op
BenchmarkIn_V2_3Int-8                                  	21309973	         5.013 ns/op	       0 B/op	       0 allocs/op
BenchmarkIn_V4_3Int-8                                  	26357048	         4.285 ns/op	       0 B/op	       0 allocs/op
BenchmarkIn_V5_3Int-8                                  	15354512	         7.967 ns/op	       0 B/op	       0 allocs/op
BenchmarkIn_V6_3Int-8                                  	16506093	         7.268 ns/op	       0 B/op	       0 allocs/op
BenchmarkIn_V8_3Int-8                                  	13437411	         8.802 ns/op	       0 B/op	       0 allocs/op
BenchmarkIn_V10_3Int-8                                 	18789754	         6.504 ns/op	       0 B/op	       0 allocs/op
BenchmarkIn_V11_3Int-8                                 	28219524	         4.366 ns/op	       0 B/op	       0 allocs/op
BenchmarkIn_Original_15Int-8                           	20897122	         6.542 ns/op	       0 B/op	       0 allocs/op
BenchmarkIn_V1_15Int-8                                 	 5148399	        26.44 ns/op	       0 B/op	       0 allocs/op
BenchmarkIn_V2_15Int-8                                 	19611178	         6.487 ns/op	       0 B/op	       0 allocs/op
BenchmarkIn_V4_15Int-8                                 	20504204	         6.020 ns/op	       0 B/op	       0 allocs/op
BenchmarkIn_V7_15Int-8                                 	20052637	         5.650 ns/op	       0 B/op	       0 allocs/op
BenchmarkIn_V8_15Int-8                                 	20691884	         5.840 ns/op	       0 B/op	       0 allocs/op
BenchmarkIn_V10_15Int-8                                	15138931	         7.867 ns/op	       0 B/op	       0 allocs/op
BenchmarkIn_V11_15Int-8                                	19610245	         5.983 ns/op	       0 B/op	       0 allocs/op
BenchmarkIn_Original_100Int-8                          	20949109	         5.838 ns/op	       0 B/op	       0 allocs/op
BenchmarkIn_V1_100Int-8                                	 1000000	       162.3 ns/op	       0 B/op	       0 allocs/op
BenchmarkIn_V2_100Int-8                                	19161039	         6.048 ns/op	       0 B/op	       0 allocs/op
