goos: darwin
goarch: arm64
pkg: github.com/lazygophers/utils/validator
cpu: Apple M3
Benchmark_IDCard18_Current_Valid_Small-8                	  425064	      3675 ns/op	    7571 B/op	      79 allocs/op
Benchmark_IDCard18_Current_Valid_Small-8                	  426890	      2739 ns/op	    7571 B/op	      79 allocs/op
Benchmark_IDCard18_Current_Valid_Small-8                	  441480	      2738 ns/op	    7571 B/op	      79 allocs/op
Benchmark_IDCard18_Current_Valid_Medium-8               	  454533	      2685 ns/op	    7571 B/op	      79 allocs/op
Benchmark_IDCard18_Current_Valid_Medium-8               	  469140	      2611 ns/op	    7571 B/op	      79 allocs/op
Benchmark_IDCard18_Current_Valid_Medium-8               	  484502	      2557 ns/op	    7571 B/op	      79 allocs/op
Benchmark_IDCard18_Current_Invalid_Small-8              	  488412	      2564 ns/op	    7571 B/op	      79 allocs/op
Benchmark_IDCard18_Current_Invalid_Small-8              	  456451	      2526 ns/op	    7571 B/op	      79 allocs/op
Benchmark_IDCard18_Current_Invalid_Small-8              	  481526	      2634 ns/op	    7571 B/op	      79 allocs/op
Benchmark_IDCard18_Opt1_Valid_Small-8                   	190778874	         6.117 ns/op	       0 B/op	       0 allocs/op
Benchmark_IDCard18_Opt1_Valid_Small-8                   	197100621	         6.245 ns/op	       0 B/op	       0 allocs/op
Benchmark_IDCard18_Opt1_Valid_Small-8                   	195938613	         6.223 ns/op	       0 B/op	       0 allocs/op
Benchmark_IDCard18_Opt1_Valid_Medium-8                  	189470605	         6.180 ns/op	       0 B/op	       0 allocs/op
Benchmark_IDCard18_Opt1_Valid_Medium-8                  	183017872	         6.274 ns/op	       0 B/op	       0 allocs/op
Benchmark_IDCard18_Opt1_Valid_Medium-8                  	190425397	         6.273 ns/op	       0 B/op	       0 allocs/op
Benchmark_IDCard18_Opt1_Invalid_Small-8                 	458558785	         2.588 ns/op	       0 B/op	       0 allocs/op
Benchmark_IDCard18_Opt1_Invalid_Small-8                 	464225388	         2.558 ns/op	       0 B/op	       0 allocs/op
Benchmark_IDCard18_Opt1_Invalid_Small-8                 	463883377	         2.577 ns/op	       0 B/op	       0 allocs/op
Benchmark_IDCard18_Opt2_Valid_Small-8                   	198007140	         6.090 ns/op	       0 B/op	       0 allocs/op
Benchmark_IDCard18_Opt2_Valid_Small-8                   	197420319	         6.080 ns/op	       0 B/op	       0 allocs/op
Benchmark_IDCard18_Opt2_Valid_Small-8                   	196391710	         6.158 ns/op	       0 B/op	       0 allocs/op
Benchmark_IDCard18_Opt2_Valid_Medium-8                  	193681986	         6.185 ns/op	       0 B/op	       0 allocs/op
Benchmark_IDCard18_Opt2_Valid_Medium-8                  	195803815	         6.177 ns/op	       0 B/op	       0 allocs/op
Benchmark_IDCard18_Opt2_Valid_Medium-8                  	196713504	         6.112 ns/op	       0 B/op	       0 allocs/op
Benchmark_IDCard18_Opt2_Invalid_Small-8                 	460200266	         2.592 ns/op	       0 B/op	       0 allocs/op
Benchmark_IDCard18_Opt2_Invalid_Small-8                 	452811178	         2.575 ns/op	       0 B/op	       0 allocs/op
Benchmark_IDCard18_Opt2_Invalid_Small-8                 	469063702	         2.971 ns/op	       0 B/op	       0 allocs/op
Benchmark_IDCard18_Opt3_Valid_Small-8                   	151517335	         7.968 ns/op	       0 B/op	       0 allocs/op
Benchmark_IDCard18_Opt3_Valid_Small-8                   	150329157	         7.840 ns/op	       0 B/op	       0 allocs/op
Benchmark_IDCard18_Opt3_Valid_Small-8                   	149936503	         7.894 ns/op	       0 B/op	       0 allocs/op
Benchmark_IDCard18_Opt3_Valid_Medium-8                  	130327485	         9.209 ns/op	       0 B/op	       0 allocs/op
Benchmark_IDCard18_Opt3_Valid_Medium-8                  	133000530	         9.583 ns/op	       0 B/op	       0 allocs/op
Benchmark_IDCard18_Opt3_Valid_Medium-8                  	134226704	         8.944 ns/op	       0 B/op	       0 allocs/op
Benchmark_IDCard18_Opt3_Invalid_Small-8                 	362299059	         3.330 ns/op	       0 B/op	       0 allocs/op
Benchmark_IDCard18_Opt3_Invalid_Small-8                 	358160665	         3.383 ns/op	       0 B/op	       0 allocs/op
Benchmark_IDCard18_Opt3_Invalid_Small-8                 	365407482	         3.297 ns/op	       0 B/op	       0 allocs/op
Benchmark_IDCard18_Opt4_Valid_Small-8                   	125733334	         9.453 ns/op	       0 B/op	       0 allocs/op
Benchmark_IDCard18_Opt4_Valid_Small-8                   	126656901	        10.22 ns/op	       0 B/op	       0 allocs/op
Benchmark_IDCard18_Opt4_Valid_Small-8                   	126629018	         9.492 ns/op	       0 B/op	       0 allocs/op
Benchmark_IDCard18_Opt4_Valid_Medium-8                  	100000000	        10.70 ns/op	       0 B/op	       0 allocs/op
Benchmark_IDCard18_Opt4_Valid_Medium-8                  	100000000	        10.65 ns/op	       0 B/op	       0 allocs/op
Benchmark_IDCard18_Opt4_Valid_Medium-8                  	100000000	        10.78 ns/op	       0 B/op	       0 allocs/op
Benchmark_IDCard18_Opt4_Invalid_Small-8                 	280559805	         4.320 ns/op	       0 B/op	       0 allocs/op
Benchmark_IDCard18_Opt4_Invalid_Small-8                 	281497272	         4.272 ns/op	       0 B/op	       0 allocs/op
Benchmark_IDCard18_Opt4_Invalid_Small-8                 	262166983	         5.034 ns/op	       0 B/op	       0 allocs/op
Benchmark_IDCard18_Opt5_Valid_Small-8                   	197977521	         6.104 ns/op	       0 B/op	       0 allocs/op
Benchmark_IDCard18_Opt5_Valid_Small-8                   	196977018	         6.202 ns/op	       0 B/op	       0 allocs/op
Benchmark_IDCard18_Opt5_Valid_Small-8                   	197640528	         6.205 ns/op	       0 B/op	       0 allocs/op
Benchmark_IDCard18_Opt5_Valid_Medium-8                  	194242594	         6.152 ns/op	       0 B/op	       0 allocs/op
Benchmark_IDCard18_Opt5_Valid_Medium-8                  	186112443	         6.287 ns/op	       0 B/op	       0 allocs/op
Benchmark_IDCard18_Opt5_Valid_Medium-8                  	195391116	         6.517 ns/op	       0 B/op	       0 allocs/op
Benchmark_IDCard18_Opt5_Invalid_Small-8                 	473229193	         2.514 ns/op	       0 B/op	       0 allocs/op
Benchmark_IDCard18_Opt5_Invalid_Small-8                 	475155550	         2.518 ns/op	       0 B/op	       0 allocs/op
Benchmark_IDCard18_Opt5_Invalid_Small-8                 	476551749	         2.531 ns/op	       0 B/op	       0 allocs/op
Benchmark_IDCard18_Opt6_Valid_Small-8                   	172835378	         6.909 ns/op	       0 B/op	       0 allocs/op
Benchmark_IDCard18_Opt6_Valid_Small-8                   	169098573	         6.955 ns/op	       0 B/op	       0 allocs/op
Benchmark_IDCard18_Opt6_Valid_Small-8                   	173516061	         6.941 ns/op	       0 B/op	       0 allocs/op
Benchmark_IDCard18_Opt6_Valid_Medium-8                  	139477483	         8.327 ns/op	       0 B/op	       0 allocs/op
Benchmark_IDCard18_Opt6_Valid_Medium-8                  	143503920	         8.396 ns/op	       0 B/op	       0 allocs/op
Benchmark_IDCard18_Opt6_Valid_Medium-8                  	139512030	         8.540 ns/op	       0 B/op	       0 allocs/op
Benchmark_IDCard18_Opt6_Invalid_Small-8                 	379722552	         3.142 ns/op	       0 B/op	       0 allocs/op
Benchmark_IDCard18_Opt6_Invalid_Small-8                 	384493534	         3.162 ns/op	       0 B/op	       0 allocs/op
Benchmark_IDCard18_Opt6_Invalid_Small-8                 	382707775	         3.153 ns/op	       0 B/op	       0 allocs/op
Benchmark_IDCard18_Opt7_Valid_Small-8                   	100000000	        10.23 ns/op	       0 B/op	       0 allocs/op
Benchmark_IDCard18_Opt7_Valid_Small-8                   	100000000	        10.17 ns/op	       0 B/op	       0 allocs/op
Benchmark_IDCard18_Opt7_Valid_Small-8                   	100000000	        10.12 ns/op	       0 B/op	       0 allocs/op
Benchmark_IDCard18_Opt7_Valid_Medium-8                  	100000000	        11.50 ns/op	       0 B/op	       0 allocs/op
Benchmark_IDCard18_Opt7_Valid_Medium-8                  	100000000	        11.27 ns/op	       0 B/op	       0 allocs/op
Benchmark_IDCard18_Opt7_Valid_Medium-8                  	100000000	        11.15 ns/op	       0 B/op	       0 allocs/op
Benchmark_IDCard18_Opt7_Invalid_Small-8                 	285032271	         4.221 ns/op	       0 B/op	       0 allocs/op
Benchmark_IDCard18_Opt7_Invalid_Small-8                 	286520464	         4.290 ns/op	       0 B/op	       0 allocs/op
Benchmark_IDCard18_Opt7_Invalid_Small-8                 	285675770	         4.234 ns/op	       0 B/op	       0 allocs/op
Benchmark_IDCard18_Opt8_Valid_Small-8                   	67058931	        17.50 ns/op	       0 B/op	       0 allocs/op
Benchmark_IDCard18_Opt8_Valid_Small-8                   	68970638	        17.51 ns/op	       0 B/op	       0 allocs/op
Benchmark_IDCard18_Opt8_Valid_Small-8                   	68928378	        18.47 ns/op	       0 B/op	       0 allocs/op
Benchmark_IDCard18_Opt8_Valid_Medium-8                  	70593424	        17.12 ns/op	       0 B/op	       0 allocs/op
Benchmark_IDCard18_Opt8_Valid_Medium-8                  	70902428	        16.83 ns/op	       0 B/op	       0 allocs/op
Benchmark_IDCard18_Opt8_Valid_Medium-8                  	71811853	        16.88 ns/op	       0 B/op	       0 allocs/op
Benchmark_IDCard18_Opt8_Invalid_Small-8                 	199754481	         5.988 ns/op	       0 B/op	       0 allocs/op
Benchmark_IDCard18_Opt8_Invalid_Small-8                 	201243628	         6.156 ns/op	       0 B/op	       0 allocs/op
Benchmark_IDCard18_Opt8_Invalid_Small-8                 	200733526	         5.986 ns/op	       0 B/op	       0 allocs/op
Benchmark_IDCard18_Opt9_Valid_Small-8                   	168423337	         7.185 ns/op	       0 B/op	       0 allocs/op
Benchmark_IDCard18_Opt9_Valid_Small-8                   	169786303	         7.278 ns/op	       0 B/op	       0 allocs/op
Benchmark_IDCard18_Opt9_Valid_Small-8                   	164406814	         7.235 ns/op	       0 B/op	       0 allocs/op
Benchmark_IDCard18_Opt9_Valid_Medium-8                  	133825419	         8.950 ns/op	       0 B/op	       0 allocs/op
Benchmark_IDCard18_Opt9_Valid_Medium-8                  	133783352	         8.959 ns/op	       0 B/op	       0 allocs/op
Benchmark_IDCard18_Opt9_Valid_Medium-8                  	134990396	         8.965 ns/op	       0 B/op	       0 allocs/op
Benchmark_IDCard18_Opt9_Invalid_Small-8                 	342887266	         3.532 ns/op	       0 B/op	       0 allocs/op
Benchmark_IDCard18_Opt9_Invalid_Small-8                 	336928957	         3.473 ns/op	       0 B/op	       0 allocs/op
Benchmark_IDCard18_Opt9_Invalid_Small-8                 	344431810	         3.468 ns/op	       0 B/op	       0 allocs/op
Benchmark_IDCard18_Opt10_Valid_Small-8                  	152989356	         7.843 ns/op	       0 B/op	       0 allocs/op
Benchmark_IDCard18_Opt10_Valid_Small-8                  	152986527	         7.871 ns/op	       0 B/op	       0 allocs/op
Benchmark_IDCard18_Opt10_Valid_Small-8                  	138353509	        10.56 ns/op	       0 B/op	       0 allocs/op
Benchmark_IDCard18_Opt10_Valid_Medium-8                 	151474764	         7.997 ns/op	       0 B/op	       0 allocs/op
Benchmark_IDCard18_Opt10_Valid_Medium-8                 	134950533	         8.339 ns/op	       0 B/op	       0 allocs/op
Benchmark_IDCard18_Opt10_Valid_Medium-8                 	150949820	         8.106 ns/op	       0 B/op	       0 allocs/op
Benchmark_IDCard18_Opt10_Invalid_Small-8                	322514971	         3.791 ns/op	       0 B/op	       0 allocs/op
Benchmark_IDCard18_Opt10_Invalid_Small-8                	317044615	         3.697 ns/op	       0 B/op	       0 allocs/op
Benchmark_IDCard18_Opt10_Invalid_Small-8                	315327165	         3.702 ns/op	       0 B/op	       0 allocs/op
Benchmark_IDCard18_Opt11_WithChecksum_Valid_Small-8     	78905620	        15.85 ns/op	       0 B/op	       0 allocs/op
Benchmark_IDCard18_Opt11_WithChecksum_Valid_Small-8     	78132630	        15.72 ns/op	       0 B/op	       0 allocs/op
Benchmark_IDCard18_Opt11_WithChecksum_Valid_Small-8     	77236647	        15.77 ns/op	       0 B/op	       0 allocs/op
Benchmark_IDCard18_Opt11_WithChecksum_Valid_Medium-8    	71196368	        17.36 ns/op	       0 B/op	       0 allocs/op
Benchmark_IDCard18_Opt11_WithChecksum_Valid_Medium-8    	69343281	        17.84 ns/op	       0 B/op	       0 allocs/op
Benchmark_IDCard18_Opt11_WithChecksum_Valid_Medium-8    	70378482	        17.33 ns/op	       0 B/op	       0 allocs/op
Benchmark_IDCard18_Opt11_WithChecksum_Invalid_Small-8   	318965947	         3.830 ns/op	       0 B/op	       0 allocs/op
Benchmark_IDCard18_Opt11_WithChecksum_Invalid_Small-8   	324213550	         3.803 ns/op	       0 B/op	       0 allocs/op
Benchmark_IDCard18_Opt11_WithChecksum_Invalid_Small-8   	320629110	         3.758 ns/op	       0 B/op	       0 allocs/op
Benchmark_IDCard18_Current_Alloc-8                      	  436808	      2799 ns/op	    7571 B/op	      79 allocs/op
Benchmark_IDCard18_Current_Alloc-8                      	  459537	      2699 ns/op	    7571 B/op	      79 allocs/op
Benchmark_IDCard18_Current_Alloc-8                      	  450764	      3246 ns/op	    7571 B/op	      79 allocs/op
Benchmark_IDCard18_Opt1_Alloc-8                         	193848565	         6.124 ns/op	       0 B/op	       0 allocs/op
Benchmark_IDCard18_Opt1_Alloc-8                         	196630933	         6.271 ns/op	       0 B/op	       0 allocs/op
Benchmark_IDCard18_Opt1_Alloc-8                         	197175866	         6.142 ns/op	       0 B/op	       0 allocs/op
Benchmark_IDCard18_Opt2_Alloc-8                         	188097319	         6.321 ns/op	       0 B/op	       0 allocs/op
Benchmark_IDCard18_Opt2_Alloc-8                         	191119537	         6.402 ns/op	       0 B/op	       0 allocs/op
